var 1,var 2,var 3,var 4,var 5,var 6,var 7,var 8,var 9,var 10,var 11,var 12,var 13,var 14,var 15,var 16,var 17,var 18,var 19,var 20,var 21,var 22,var 23,var 24,hydropowerAk,irrigation,environment,floodcontrol,hydropowerKp
0.47969993,0.351480194,0.842439676,0.719632155,-0.232095797,0.325773624,-0.706428503,0.636544079,0.842577786,0.138510126,0.802617681,0.801966207,0.428006942,0.316326246,-0.323306682,0.580168083,0.970360711,0.01537793,0.017719453,0.166374,0.744794153,0.341995651,0.809653733,0.352802,3.940.881.458.564.500,0.295908944,0.580821918,0,769.903.175.475.527
0.469032766,0.81709597,0.895327458,0.956982184,0.956351008,0.581870726,-0.861385939,0.725024617,0.848768346,0.302582076,0.865206466,0.870950905,0.557416142,0.456105168,-0.170669449,0.392141787,0.954239691,0.018949421,0.018168685,0.817651398,0.267352322,0.338217622,0.021557707,0.578221564,44.222.621.242.617.400,0.702873708,0.481813888,0,869.090.528.323.538
0.476746002,0.322270749,0.919187619,0.44211248,-0.296313932,0.376104326,-0.491871741,0.675437564,0.919493023,0.137181163,0.935644599,0.756762946,-0.708626153,0.378467545,-0.280583313,0.595621823,0.840991214,0.020500907,0.063037446,0.254116891,0.758944096,0.341995651,0.0354416,0.1522467,36.327.084.544.697.500,0.350348598,0.660273973,0,7.038.255.586.126.520
0.645963111,0.744122459,0.852138402,0.555029605,-0.50748698,0.571133676,-0.867760567,0.850007105,0.780549824,0.199666254,0.980370621,0.701961572,-0.888215443,0.37436029,-0.174182464,0.379082404,0.971387755,0.014277293,0.024523685,0.145507814,0.382999607,0.289462731,0.001481432,0.424078122,4.467.431.262.943.930,0.668569849,0.460651866,0,8.803.162.866.555.470
0.538626784,0.351313428,0.848733693,0.572779875,-0.128626815,0.323823935,-0.707187718,0.631773487,0.766989994,0.166344121,0.802617681,0.802325385,0.390525572,0.376686689,-0.216313737,0.580168083,0.996208434,0.012560342,0.017684335,0.192863295,0.334374528,0.358803123,0.885187516,0.151093186,44.707.998.736.709.700,0.30610694,0.453660841,0,885.033.195.946.004
0.774508094,0.775818188,0.843379736,0.557646579,0.438945894,0.358564451,-0.931505534,0.482767041,0.778508358,0.196705243,0.765229192,0.862124597,-0.872366306,0.383447756,-0.545052657,0.534088333,0.905561323,0.01503878,0.024484398,0.271130834,0.008700977,0.341129114,0.007339916,0.306726496,4.472.552.616.704.180,0.763791917,0.438734058,0,8.792.415.092.717.840
0.53862983,0.347713315,0.848733693,0.531264798,-0.128626815,0.323823935,-0.906907601,0.623136699,0.767642193,0.166346783,0.802617681,0.802325385,0.390525572,0.376686689,-0.21869521,0.580168083,0.996208434,0.015107082,0.017716483,0.198522835,0.744794153,0.353855233,0.033070823,0.150446361,4.462.258.898.787.400,0.425692574,0.463202645,0,8.831.623.321.871.430
0.481019312,0.338411236,0.851529997,0.492619568,-0.404889274,0.097830333,-0.952443707,0.00118632,0.825068595,0.138510126,0.802576069,0.952877228,0.344799042,0.315797858,-0.323306682,0.579946505,0.84883573,0.01537793,0.017719453,0.16652984,0.744794153,0.343422752,0.850055144,0.146728825,4.133.644.167.284.480,0.267510416,0.536986301,0,8.117.101.251.920.740
0.532559575,0.744122459,0.864521212,0.468115773,-0.13403638,0.318185038,-0.868572959,0.394473801,0.780549824,0.199910411,0.985135485,0.862194878,-0.847873785,0.395704773,-0.244780295,0.474857497,0.912447389,0.014277293,0.024476949,0.168950758,0.539656441,0.292704129,0.001481432,0.40582611,4.453.345.074.175.370,0.623952088,0.470666037,0,8.780.382.897.271.930
0.579327253,0.830520811,0.864087227,0.851413519,-0.562025002,0.458606138,-0.86811222,0.144251557,0.769284304,0.206481089,0.802066038,0.801934353,-0.826570431,0.437532041,-0.423313335,0.369201819,0.968644178,0.014692851,0.006498786,0.323743519,0.270648216,0.300788375,0.002407867,0.475404383,4.467.281.122.951.520,0.747262061,0.451582428,0,8.780.022.142.609.510
0.47969993,0.349554199,0.843232793,0.719632155,-0.404889274,0.325773624,-0.706428503,0.57975975,0.840440595,0.138510126,0.802617681,0.952877228,0.390525572,0.316326246,-0.279371483,0.580168083,0.970360711,0.01537793,0.017719453,0.166374,0.744794153,0.367302636,0.81236089,0.337451089,3.998.382.627.350.750,0.290417806,0.57260274,0,7.821.450.434.153.600
0.452486222,0.329500451,0.852924228,0.629837623,-0.407100998,0.326280451,-0.934056497,0.040869433,0.919847763,0.155505751,0.802797451,0.331571278,-0.817628006,0.358906121,-0.18642823,0.46885769,0.948549804,0.020720156,0.000112159,0.314331386,0.25547323,0.364010133,0.03375955,0.1491557,3.736.233.137.223.110,0.465633442,0.632876712,0,7.207.544.822.786.870
0.774508094,0.778177003,0.843294643,0.557646579,0.438945894,0.358564451,-0.867554491,0.482767041,0.778508358,0.196705243,0.765229192,0.862124597,-0.872366306,0.383447756,-0.519419158,0.534088333,0.903322844,0.01503878,0.041230424,0.271130834,0.071400906,0.341129114,0.007339916,0.306726496,44.738.158.252.623.800,0.725431976,0.438450638,0,8.801.486.089.309.730
0.480070985,0.342001898,0.834047054,0.253261467,-0.230964522,0.348696687,-0.938403184,0.049360002,0.929586097,0.16730656,0.764961046,0.831374316,0.323432948,0.376686689,-0.295109731,0.580355418,0.819125377,0.015107082,0.014451253,0.286105639,0.04766992,0.341995651,0.000138372,0.152846276,3.741.402.730.306.760,0.53858009,0.621917808,0,7.186.321.064.294.710
0.537741199,0.771897814,0.829807681,0.282499597,0.928777522,0.224307849,-0.879117418,0.035122731,0.770871601,0.221135461,0.764775137,0.782836642,0.063991019,0.43723933,-0.29840975,0.400108369,0.907565068,0.00603015,0.021485458,0.202725718,0.004188793,0.367771972,0.000972419,0.620407081,4.478.039.246.037.790,0.833248375,0.42739726,0,8.768.102.728.686.230
0.480070985,0.342001898,0.834047054,0.388398239,-0.230964522,0.238339489,-0.938403184,0.049360002,0.919666845,0.16730656,0.802617681,0.759973186,0.323432948,0.37666921,-0.248457849,0.580355418,0.819125377,0.015107082,0.014451253,0.286105639,0.347989794,0.341995651,0.001425095,0.161325995,3.843.615.140.803.860,0.462608713,0.605479452,0,7.451.369.090.320.180
